iter	Logloss
259	0.5235926809
260	0.5235107359
261	0.5234292377
262	0.5233459361
263	0.5233136096
264	0.5232946295
265	0.5232350175
266	0.5231952292
267	0.5231086941
268	0.5230576693
269	0.5230226607
270	0.5230145943
271	0.5229686687
272	0.5229107934
273	0.5228344848
274	0.5227600945
275	0.5226983248
276	0.5226175965
277	0.5225840537
278	0.5225422447
279	0.522464656
280	0.5224111106
281	0.5223414618
282	0.5222894831
283	0.5222353145
284	0.5221791747
285	0.5221432251
286	0.5221044233
287	0.5220362813
288	0.5220006777
289	0.5219201529
290	0.5218786314
291	0.5218169729
292	0.5217871069
293	0.5217528126
294	0.5217508307
295	0.5217052271
296	0.5216551583
297	0.5216030453
298	0.5215658503
299	0.521500029
300	0.5214227982
301	0.5213376312
302	0.5212700033
303	0.5212158497
304	0.5211213785
305	0.5210610021
306	0.5210183822
307	0.5209635363
308	0.5209239266
309	0.5208464998
310	0.5207569218
311	0.520715213
312	0.5206447637
313	0.5205714925
314	0.520509544
315	0.5204601992
316	0.520388755
317	0.5203342962
318	0.5203022894
319	0.5202565694
320	0.5202018072
321	0.5201553759
322	0.5200962349
323	0.5200514839
324	0.5200038617
325	0.5199479109
326	0.5199066477
327	0.5198651937
328	0.5198326811
329	0.5197833439
330	0.5197274593
331	0.519679383
332	0.5196140182
333	0.5195548511
334	0.519517121
335	0.5194470715
336	0.5194082858
337	0.5193722262
338	0.5193309063
339	0.5192583058
340	0.5192299599
341	0.5191782593
342	0.5191408366
343	0.5190943769
344	0.5190196797
345	0.5189850048
346	0.5189176274
347	0.5188698213
348	0.5188253523
349	0.5187942743
350	0.5187424634
351	0.5186873592
352	0.5186271514
353	0.5185731549
354	0.5185339978
355	0.5184888968
356	0.5184299586
357	0.5183860413
358	0.5183421755
359	0.518292902
360	0.5182589036
361	0.5182036401
362	0.5181474422
363	0.5180895569
364	0.5180156407
365	0.5179598874
366	0.5179088286
367	0.5178301796
368	0.5177737025
369	0.5177218683
370	0.5176617937
371	0.5175979406
372	0.5175493731
373	0.5175062834
374	0.5174598509
375	0.5174141555
376	0.5173832498
377	0.5173268928
378	0.5172784996
379	0.5172392764
380	0.5172117555
381	0.5171697572
382	0.5171420714
383	0.5170900078
384	0.5170210592
385	0.516997497
386	0.5169505273
387	0.5169037542
388	0.5168643282
389	0.5168013
390	0.5167243478
391	0.5166770497
392	0.5166101272
393	0.5165868445
394	0.51653402
395	0.516462002
396	0.5163868074
397	0.5163220284
398	0.5162914288
399	0.5162234172
400	0.5161855661
401	0.5161421509
402	0.5160962348
403	0.5160391646
404	0.51597072
405	0.5159216032
406	0.515872963
407	0.5158043145
408	0.5157427124
409	0.5156813972
410	0.5156235271
411	0.5155632971
412	0.5155311859
413	0.5154537152
414	0.5153963972
415	0.5153603601
416	0.5153078438
417	0.5152575547
418	0.5151840129
419	0.5151384806
420	0.5150810327
421	0.5150246591
422	0.5149558404
423	0.5149156506
424	0.5148453624
425	0.5148023834
426	0.5147270024
427	0.5146797919
428	0.5146223047
429	0.5145763093
430	0.5145322754
431	0.5144878068
432	0.5144171046
433	0.5143716343
434	0.5143264441
435	0.5142841856
436	0.5142122628
437	0.5141643686
438	0.5141021628
439	0.514042275
440	0.514002305
441	0.5139296403
442	0.5138386499
443	0.5137733582
444	0.5137013084
445	0.5136532442
446	0.5136085912
447	0.5135435211
448	0.5135038367
449	0.5134533935
450	0.513400401
451	0.5133339483
452	0.5132857724
453	0.5132307813
454	0.5131564646
455	0.5130956957
456	0.5130614446
457	0.5129970249
458	0.5129395495
459	0.51290037
460	0.5128470439
461	0.5127990601
462	0.5127446994
463	0.5127041422
464	0.5126574099
465	0.5125948442
466	0.5125455942
467	0.5124995163
468	0.5124450049
469	0.5123948809
470	0.5123567659
471	0.5123137705
472	0.5122629138
473	0.5122326578
474	0.5121702029
475	0.5121353833
476	0.5121053523
477	0.5120518378
478	0.5119857071
479	0.5119443875
480	0.5118950262
481	0.5118370011
482	0.5117825909
483	0.5117023601
484	0.5116511107
485	0.5116018277
486	0.5115727656
487	0.5115179195
488	0.5114239827
489	0.5113832127
490	0.511297929
491	0.5112387848
492	0.5111737543
493	0.511105129
494	0.5110330114
495	0.5110019969
496	0.5109583042
497	0.5108966972
498	0.5108315938
499	0.5107654499
500	0.5107026112
501	0.5106491587
502	0.510578368
503	0.5105402855
504	0.5105002903
505	0.5104351224
506	0.5104060303
507	0.5103513056
508	0.5102948801
509	0.5102431861
510	0.5102120469
511	0.5101520976
512	0.5101114325
513	0.5100797543
514	0.510028966
515	0.5099756322
516	0.5098995568
517	0.5098628817
518	0.5098070558
519	0.5097446729
520	0.5096855529
521	0.5096376253
522	0.5096022188
523	0.5095608544
524	0.5095088437
525	0.5094613689
526	0.5094304818
527	0.5093866467
528	0.5093218527
529	0.5092941273
530	0.5092615881
531	0.5092003185
532	0.5091441465
533	0.5091082757
534	0.5090717225
535	0.5090421209
536	0.5090032728
537	0.5089643304
538	0.5089073949
539	0.5088513749
540	0.508795811
541	0.5087290283
542	0.5086935299
543	0.5086397462
544	0.5085784351
545	0.5085371978
546	0.5084993572
547	0.5084667555
548	0.5084100211
549	0.5083480709
550	0.5082876667
551	0.5082237495
552	0.5081686479
553	0.5081310804
554	0.5080920197
555	0.5080290616
556	0.5079835021
557	0.5079581541
558	0.5079249025
559	0.507863197
560	0.507824838
561	0.5077602718
562	0.5077164435
563	0.5076686137
564	0.5076076072
565	0.5075677176
566	0.5075391932
567	0.5075114722
568	0.5074815774
569	0.5074508888
570	0.5074109467
571	0.507375629
572	0.5073470513
573	0.5073028395
574	0.5072710313
575	0.5072425871
576	0.5072062429
577	0.5071468051
578	0.5070933928
579	0.5070681125
580	0.5070166765
581	0.5069392566
582	0.5068709779
583	0.5068200947
584	0.5067395879
585	0.5066949484
586	0.5066344576
587	0.5065747601
588	0.506539104
589	0.5064849516
590	0.5064579559
591	0.5064131325
592	0.5063608868
593	0.5063267087
594	0.5062785238
595	0.5062608279
596	0.5062106794
597	0.5061882215
598	0.506150525
599	0.5060742677
600	0.5060271203
601	0.5059955194
602	0.5059543796
603	0.5059187649
604	0.5058630937
605	0.5057846115
606	0.5057239484
607	0.5056863506
608	0.5056334726
609	0.5055708616
610	0.5054850235
611	0.5054432467
612	0.5054064932
613	0.5053486593
614	0.5053096916
615	0.5052388877
616	0.5051889176
617	0.5051551937
618	0.505123568
619	0.5050791343
620	0.5050446058
621	0.5049748554
622	0.5049433966
623	0.5048892033
624	0.5048613176
625	0.5047827428
626	0.50475627
627	0.5046999826
628	0.5046415755
629	0.5045732238
630	0.5045166906
631	0.504484746
632	0.5044258286
633	0.5043802337
634	0.5043410908
635	0.5042840576
636	0.5042192171
637	0.5041752104
638	0.5041341648
639	0.5040933154
640	0.5040601085
641	0.5040349431
642	0.5040107226
643	0.5039412706
644	0.5038984387
645	0.5038457731
646	0.5038027408
647	0.5037808615
648	0.5037126088
649	0.5036587539
650	0.5036043338
651	0.5035678669
652	0.5035340018
653	0.5034908158
654	0.5034462546
655	0.5034124226
656	0.5033368314
657	0.5032856249
658	0.5032286484
659	0.5031974896
660	0.5031587303
661	0.503122069
662	0.5030757862
663	0.5030370272
664	0.5030014034
665	0.5029605378
666	0.502904156
667	0.5028660378
668	0.5028123597
669	0.5027790237
670	0.5027416729
671	0.5026887418
672	0.5026259859
673	0.5025982247
674	0.5025744323
675	0.502525494
676	0.5024813434
677	0.5024340007
678	0.5023953376
679	0.5023253305
680	0.5022647784
681	0.5022257644
682	0.5021902017
683	0.5021320108
684	0.5020859645
685	0.5020544599
686	0.502018886
687	0.5019826496
688	0.5019390995
689	0.501890039
690	0.5018502209
691	0.5018111021
692	0.501747502
693	0.5017113163
694	0.5016467882
695	0.5015945627
696	0.5015278413
697	0.5014925993
698	0.501468867
699	0.5014237399
700	0.5013675905
701	0.5013327119
702	0.501244907
703	0.5011888879
704	0.5011382336
705	0.5010771663
706	0.5010328806
707	0.5009663206
708	0.5009253898
709	0.5008920524
710	0.5008527054
711	0.5008172852
712	0.5007413846
713	0.5007023122
714	0.5006794019
715	0.5006376272
716	0.5005853702
717	0.5005389903
718	0.5005042674
719	0.5004758375
720	0.500435275
721	0.5003958772
722	0.5003343136
723	0.5002973434
724	0.5002667182
725	0.5002277815
726	0.5001951445
727	0.5001430784
728	0.5001092169
729	0.500078084
730	0.5000367106
731	0.4999960281
732	0.499948146
733	0.4999099573
734	0.4998523039
735	0.4998175711
736	0.4997464986
737	0.4997142606
738	0.4996623999
739	0.4996122972
740	0.4995822086
741	0.4995376767
742	0.4995037204
743	0.4994419166
744	0.4994090579
745	0.499371327
746	0.4993234341
747	0.4992775156
748	0.4992374845
749	0.49918471
750	0.4991210863
751	0.4990517283
752	0.498998722
753	0.4989688378
754	0.4989156113
755	0.4988881325
756	0.4988519773
757	0.4988268045
758	0.4987880924
759	0.4987414841
760	0.4987206919
761	0.4986830358
762	0.4986369235
763	0.4985861991
764	0.498554679
765	0.4985341542
766	0.498488156
767	0.4984243137
768	0.4983617581
769	0.498333907
770	0.4982820367
771	0.4982592801
772	0.4982113799
773	0.4981746326
774	0.4981263033
775	0.498092035
776	0.4980570297
777	0.4980416762
778	0.4979986927
779	0.4979458174
780	0.4978930634
781	0.4978727943
782	0.4978331685
783	0.4977728847
784	0.4977137973
785	0.4976609617
786	0.4976295391
787	0.4976065258
788	0.4975566492
789	0.4975210436
790	0.497496408
791	0.4974501782
792	0.4974062277
793	0.497367481
794	0.4973067057
795	0.4972388618
796	0.4971997054
797	0.4971631739
798	0.4971147187
799	0.4970602888
