iter	Passed	Remaining
461	4331	3169
462	4340	3159
463	4348	3149
464	4360	3141
465	4368	3131
466	4378	3122
467	4386	3112
468	4395	3101
469	4403	3091
470	4412	3082
471	4421	3072
472	4429	3062
473	4436	3051
474	4445	3041
475	4453	3031
476	4461	3021
477	4469	3010
478	4478	3000
479	4487	2991
480	4496	2982
481	4505	2972
482	4513	2962
483	4523	2953
484	4531	2943
485	4541	2934
486	4550	2924
487	4560	2915
488	4569	2906
489	4578	2896
490	4586	2886
491	4595	2876
492	4603	2866
493	4612	2857
494	4620	2847
495	4629	2837
496	4637	2827
497	4646	2817
498	4655	2808
499	4666	2799
500	4675	2790
501	4685	2781
502	4694	2771
503	4704	2763
504	4713	2753
505	4722	2743
506	4729	2733
507	4737	2723
508	4746	2713
509	4754	2703
510	4762	2693
511	4772	2684
512	4781	2675
513	4790	2665
514	4799	2655
515	4807	2646
516	4817	2637
517	4827	2628
518	4837	2619
519	4846	2609
520	4854	2599
521	4863	2590
522	4871	2580
523	4880	2570
524	4889	2560
525	4899	2552
526	4907	2542
527	4918	2533
528	4926	2524
529	4935	2514
530	4943	2504
531	4952	2495
532	4961	2485
533	4969	2475
534	4979	2466
535	4987	2456
536	4995	2446
537	5004	2437
538	5014	2427
539	5022	2418
540	5031	2408
541	5040	2399
542	5048	2389
543	5058	2380
544	5068	2371
545	5078	2362
546	5086	2352
547	5096	2343
548	5105	2334
549	5115	2325
550	5124	2315
551	5134	2306
552	5143	2297
553	5152	2288
554	5162	2278
555	5170	2269
556	5180	2259
557	5189	2250
558	5198	2241
559	5207	2231
560	5215	2222
561	5224	2212
562	5232	2202
563	5241	2193
564	5249	2183
565	5258	2173
566	5266	2164
567	5274	2154
568	5283	2144
569	5291	2135
570	5301	2126
571	5309	2116
572	5319	2107
573	5328	2097
574	5337	2088
575	5345	2078
576	5355	2069
577	5363	2060
578	5372	2050
579	5381	2041
580	5390	2031
581	5399	2022
582	5408	2013
583	5416	2003
584	5425	1993
585	5433	1984
586	5443	1975
587	5452	1965
588	5460	1956
589	5470	1947
590	5478	1937
591	5488	1928
592	5497	1919
593	5507	1909
594	5516	1900
595	5524	1890
596	5533	1881
597	5541	1871
598	5551	1862
599	5560	1853
600	5569	1844
601	5578	1834
602	5586	1825
603	5595	1815
604	5604	1806
605	5613	1797
606	5622	1787
607	5631	1778
608	5642	1769
609	5651	1760
610	5660	1750
611	5668	1741
612	5677	1731
613	5686	1722
614	5695	1713
615	5704	1703
616	5712	1694
617	5721	1685
618	5729	1675
619	5739	1666
620	5747	1656
621	5757	1647
622	5764	1637
623	5774	1628
624	5782	1619
625	5792	1610
626	5800	1600
627	5810	1591
628	5820	1582
629	5830	1573
630	5839	1564
631	5848	1554
632	5857	1545
633	5865	1535
634	5874	1526
635	5884	1517
636	5893	1508
637	5902	1498
638	5911	1489
639	5920	1480
640	5928	1470
641	5936	1461
642	5944	1451
643	5952	1442
644	5961	1432
645	5969	1423
646	5979	1413
647	5987	1404
648	5996	1395
649	6005	1385
650	6013	1376
651	6023	1367
652	6031	1357
653	6040	1348
654	6048	1339
655	6058	1329
656	6067	1320
657	6076	1311
658	6086	1302
659	6095	1292
660	6105	1283
661	6113	1274
662	6122	1265
663	6131	1255
664	6139	1246
665	6147	1236
666	6155	1227
667	6164	1218
668	6174	1209
669	6181	1199
670	6190	1190
671	6199	1180
672	6208	1171
673	6216	1162
674	6224	1152
675	6233	1143
676	6243	1134
677	6251	1124
678	6259	1115
679	6268	1106
680	6280	1097
681	6288	1088
682	6297	1078
683	6306	1069
684	6315	1060
685	6325	1051
686	6333	1041
687	6343	1032
688	6353	1023
689	6362	1014
690	6371	1005
691	6380	995
692	6388	986
693	6397	977
694	6406	967
695	6415	958
696	6424	949
697	6433	940
698	6441	930
699	6450	921
700	6458	912
701	6468	902
702	6476	893
703	6484	884
704	6493	874
705	6501	865
706	6511	856
707	6520	847
708	6529	838
709	6539	828
710	6547	819
711	6557	810
712	6566	801
713	6575	792
714	6584	782
715	6593	773
716	6601	764
717	6611	755
718	6620	745
719	6629	736
720	6638	727
721	6648	718
722	6657	708
723	6666	699
724	6674	690
725	6682	681
726	6691	671
727	6700	662
728	6709	653
729	6719	644
730	6728	635
731	6736	625
732	6746	616
733	6754	607
734	6764	598
735	6773	589
736	6785	580
737	6794	570
738	6803	561
739	6811	552
740	6823	543
741	6832	534
742	6841	524
743	6851	515
744	6861	506
745	6869	497
746	6878	488
747	6887	478
748	6895	469
749	6907	460
750	6916	451
751	6925	442
752	6933	432
753	6943	423
754	6952	414
755	6960	405
756	6969	395
757	6977	386
758	6985	377
759	6994	368
760	7003	358
761	7012	349
762	7022	340
763	7031	331
764	7040	322
765	7048	312
766	7057	303
767	7066	294
768	7077	285
769	7085	276
770	7094	266
771	7102	257
772	7111	248
773	7120	239
774	7131	230
775	7140	220
776	7148	211
777	7156	202
778	7165	193
779	7173	183
780	7183	174
781	7191	165
782	7199	156
783	7208	147
784	7217	137
785	7225	128
786	7234	119
787	7243	110
788	7256	101
789	7264	91
790	7273	82
791	7281	73
792	7290	64
793	7298	55
794	7307	45
795	7316	36
796	7325	27
797	7333	18
798	7342	9
799	7351	0
